央视(电信),#genre#
CCTV8,http://61.146.189.245:8888/rtp/239.77.0.172:5146
CCTV8,http://120.237.116.125:8888/rtp/239.77.0.172:5146
CCTV8,http://120.238.99.51:8888/rtp/239.77.0.172:5146
CCTV8,http://125.93.111.69:8888/rtp/239.77.0.172:5146
CCTV8,http://222.125.242.74:8888/rtp/239.77.0.172:5146
CCTV8,http://113.65.9.2:4014/rtp/239.77.0.172:5146
CCTV8,http://113.65.9.28:4014/rtp/239.77.0.172:5146
CCTV8,http://113.65.9.140:4014/rtp/239.77.0.172:5146
CCTV9,http://61.146.189.245:8888/rtp/239.77.1.168:5146
CCTV9,http://120.237.116.125:8888/rtp/239.77.1.168:5146
CCTV9,http://120.238.99.51:8888/rtp/239.77.1.168:5146
CCTV9,http://125.93.111.69:8888/rtp/239.77.1.168:5146
CCTV9,http://222.125.242.74:8888/rtp/239.77.1.168:5146
CCTV9,http://113.65.9.2:4014/rtp/239.77.1.168:5146
CCTV9,http://113.65.9.28:4014/rtp/239.77.1.168:5146
CCTV9,http://113.65.9.140:4014/rtp/239.77.1.168:5146
CCTV9测试,http://61.146.189.245:8888/rtp/239.77.0.135:5146
CCTV9测试,http://120.237.116.125:8888/rtp/239.77.0.135:5146
CCTV9测试,http://120.238.99.51:8888/rtp/239.77.0.135:5146
CCTV9测试,http://125.93.111.69:8888/rtp/239.77.0.135:5146
CCTV9测试,http://222.125.242.74:8888/rtp/239.77.0.135:5146
CCTV9测试,http://113.65.9.2:4014/rtp/239.77.0.135:5146
CCTV9测试,http://113.65.9.28:4014/rtp/239.77.0.135:5146
CCTV9测试,http://113.65.9.140:4014/rtp/239.77.0.135:5146
CCTV10,http://61.146.189.245:8888/rtp/239.77.1.169:5146
CCTV10,http://120.237.116.125:8888/rtp/239.77.1.169:5146
CCTV10,http://120.238.99.51:8888/rtp/239.77.1.169:5146
CCTV10,http://125.93.111.69:8888/rtp/239.77.1.169:5146
CCTV10,http://222.125.242.74:8888/rtp/239.77.1.169:5146
CCTV10,http://113.65.9.2:4014/rtp/239.77.1.169:5146
CCTV10,http://113.65.9.28:4014/rtp/239.77.1.169:5146
CCTV10,http://113.65.9.140:4014/rtp/239.77.1.169:5146
CCTV10测试,http://61.146.189.245:8888/rtp/239.77.0.134:5146
CCTV10测试,http://120.237.116.125:8888/rtp/239.77.0.134:5146
CCTV10测试,http://120.238.99.51:8888/rtp/239.77.0.134:5146
CCTV10测试,http://125.93.111.69:8888/rtp/239.77.0.134:5146
CCTV10测试,http://222.125.242.74:8888/rtp/239.77.0.134:5146
CCTV10测试,http://113.65.9.2:4014/rtp/239.77.0.134:5146
CCTV10测试,http://113.65.9.28:4014/rtp/239.77.0.134:5146
CCTV10测试,http://113.65.9.140:4014/rtp/239.77.0.134:5146
